"","subject_id","subject_language.x","survey_time","chrome","firefox","IE","safari","opera","other","don't know","headphones","speakers","earbuds","very bad","bad","normal","good","very good","distractions_yes","distractions_no","wireless","wired","very_slowly","slowly","tolerably_so","pretty_fast","no_loading_time","satisfaction","subject_language.y","18-29yrs","30-39yrs","40-49yrs","50-59yrs","60-69yrs","more_than_69yrs","handedness_L","handedness_R","french_native","french_non_native","lang_other_target_no","lang_other_target_yes","other_lang_na","other_lang_na2","other_lang_native","other_lang_bcpdexp","other_lang_assezdexp","other_lang_unpeudexp","other_lang_trespeudexp","other_lang_comp_na","other_lang_comp_na2","other_lang_comp_native","other_lang_presque_native","other_lang_avancee","other_lang_intermediare","other_lang_debutant","hear_vis_problems_yes","hear_vis_problems_no","troubles_de_lang_yes","troubles_de_lang_no","ling_course_yes","ling_course_no","phonet_course_yes","phonet_course_no","phonog_course_yes","phonog_course_no","subject_language","trial_type","tripletid","S-order","A_Order","RT","order","first_sound","second_sound","paid_attention","corr_ans","context","file_OTH","file_TGT","file_X","speaker_OTH","speaker_TGT","speaker_X","vowel_OTH","vowel_TGT","vowel_X","vowel_eng","vowel_fr","word_OTH","word_TGT","word_X","user_resp","user_corr"
"7820","X_QFNVUYJXAL","fr","0:18.4",0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,1,94,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,1,0,0,0,NA,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet94","orderSI=84","orderAI=75","0:3.5","75;",0,1,NA,"B","Z_D","maureen_eng_216","veronique_fr_69","marc_fr_66","maureen","veronique","marc","IH","I","I","IH","I","ZIHD","ZID","ZID","B",1
"7821","X_QFNVUYJXAL","fr","0:18.4",0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,1,94,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,1,0,0,0,NA,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet43","orderSI=80","orderAI=76","0:3.4","76;",0,1,NA,"B","V_G","maureen_fr_81","veronique_eng_215","jeremy_eng_226","maureen","veronique","jeremy","I","IH","IH","IH","I","VIG","VIHG","VIHG","B",1
"7822","X_QFNVUYJXAL","fr","0:18.4",0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,1,94,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,1,0,0,0,NA,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet103","orderSI=69","orderAI=77","0:4.8","77;",0,1,NA,"B","Z_G","maureen_fr_219","veronique_eng_203","ewan_eng_220","maureen","veronique","ewan","A","IH","IH","IH","A","ZAG","ZIHG","ZIHG","B",1
"7823","X_QFNVUYJXAL","fr","0:18.4",0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,1,94,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,1,0,0,0,NA,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet45","orderSI=60","orderAI=78","0:3.6","78;",1,0,NA,"A","V_G","maureen_fr_16","veronique_eng_16","jeremy_eng_16","maureen","veronique","jeremy","U","UH","UH","UH","U","VUG","VUHG","VUHG","A",1
"7824","X_QFNVUYJXAL","fr","0:18.4",0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,1,94,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,1,0,0,0,NA,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet86","orderSI=62","orderAI=79","0:3.0","79;",0,1,NA,"B","V_P","maureen_eng_14","veronique_fr_44","marc_fr_40","maureen","veronique","marc","UH","E","E","UH","E","VUHP","VEP","VEP","B",1
"7825","X_QFNVUYJXAL","fr","0:18.4",0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,1,94,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,1,0,0,0,NA,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet80","orderSI=83","orderAI=80","0:2.8","80;",1,0,NA,"A","Z_D","maureen_eng_5","veronique_fr_40","marc_fr_35","maureen","veronique","marc","UH","E","E","UH","E","ZUHD","ZED","ZED","A",1
"7826","X_QFNVUYJXAL","fr","0:18.4",0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,1,94,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,1,0,0,0,NA,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet100","orderSI=82","orderAI=81","0:5.1","81;",0,1,NA,"A","Z_G","maureen_eng_3","veronique_fr_207","marc_fr_207","maureen","veronique","marc","UH","A","A","UH","A","ZUHG","ZAG","ZAG","B",0
"7827","X_QFNVUYJXAL","fr","0:18.4",0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,1,94,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,1,0,0,0,NA,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet73","orderSI=89","orderAI=82","0:4.5","82;",0,1,NA,"A","V_F","maureen_fr_179","veronique_eng_32","ewan_eng_35","maureen","veronique","ewan","A","UH","UH","UH","A","VAF","VUHF","VUHF","B",0
"7828","X_QFNVUYJXAL","fr","0:18.4",0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,1,94,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,1,0,0,0,NA,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet41","orderSI=66","orderAI=83","0:4.3","83;",1,0,NA,"A","V_Z","veronique_fr_145","maureen_eng_54","ewan_eng_61","veronique","maureen","ewan","OE","AE","AE","AE","OE","VOEZ","VAEZ","VAEZ","A",1
"7829","X_QFNVUYJXAL","fr","0:18.4",0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,1,94,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,1,0,0,0,NA,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet83","orderSI=74","orderAI=84","0:4.2","84;",1,0,NA,"B","V_B","veronique_fr_204","maureen_eng_77","jeremy_eng_75","veronique","maureen","jeremy","O","AH","AH","AH","O","VOB","VAHB","VAHB","A",0
